"","parameter","exposure","mod","group","subgroup","RR","LCI","UCI","Q_stat","p_het"
"138","rr","sesq2","socio","mob","moob",1.34413,0.90102,2.00516,"0.38",0.53755
"139","rr","sesq0","socio","mob","nomoob",1.3393,1.0592,1.69345,"0.79",0.37391
"140","rr","sesq1","socio","mob","nomoob",1.32365,1.06916,1.63872,"0.00",0.9265
"141","rr","sesq2","socio","mob","nomoob",1.16794,0.94939,1.4368,"0.38",0.53755
"142","rr","sesq0","socio","age","teen",1.49319,1.21448,1.83586,"1.17",0.27762
"143","rr","sesq1","socio","age","teen",1.38173,1.12522,1.69673,"0.09",0.75341
"144","rr","sesq2","socio","age","teen",1.21961,0.99663,1.49249,"0.04",0.82471
"145","rr","moob","mom","age","child",3.6484,2.62232,5.07598,"0.73",0.3916
"146","rr","moob","mom","sex","female",3.72466,3.04881,4.55034,"4.75",0.02924
"147","rr","moob","mom","sex","male",2.74658,2.26693,3.32773,"4.75",0.02924
"148","rr","moob","mom","age","teen",3.10655,2.60689,3.70199,"0.73",0.3916
"149","rr","heduc1","socio","age","child",1.858,1.17458,2.93907,"1.29",0.25601
"150","rr","heduc2","socio","age","child",1.4075,0.96315,2.05685,"0.93",0.33415
"151","rr","fincome1","socio","age","child",1.31949,0.7136,2.43981,"0.00",0.99688
"152","rr","fincome2","socio","age","child",1.28052,0.79962,2.05063,"0.03",0.84612
"153","rr","fincome3","socio","age","child",1.12582,0.67384,1.88096,"0.03",0.85055
"154","rr","heduc1","socio","sex","female",1.56698,1.22235,2.00877,"0.48",0.48433
"155","rr","heduc2","socio","sex","female",1.23076,0.98725,1.53433,"0.16",0.68861
"156","rr","fincome1","socio","sex","female",1.33713,0.84931,2.10515,"0.00",0.97425
"157","rr","fincome2","socio","sex","female",1.33501,0.88807,2.00688,"0.37",0.53964
"158","rr","fincome3","socio","sex","female",1.17029,0.79571,1.72121,"0.32",0.5668
"159","rr","heduc1","socio","sex","male",1.38486,1.08417,1.76894,"0.48",0.48433
"160","rr","heduc2","socio","sex","male",1.15893,0.94795,1.41685,"0.16",0.68861
"161","rr","fincome1","socio","sex","male",1.3253,0.94861,1.85157,"0.00",0.97425
"162","rr","fincome2","socio","sex","male",1.15332,0.87235,1.5248,"0.37",0.53964
"163","rr","fincome3","socio","sex","male",1.01711,0.74246,1.39336,"0.32",0.5668
"164","rr","heduc1","socio","mob","moob",0.97975,0.71964,1.33387,"5.31",0.02111
"165","rr","heduc2","socio","mob","moob",0.98641,0.7673,1.26808,"1.35",0.24476
"166","rr","fincome1","socio","mob","moob",1.1299,0.70542,1.80981,"0.08",0.7767
"167","rr","fincome2","socio","mob","moob",0.96449,0.66104,1.40723,"0.73",0.39271
"168","rr","fincome3","socio","mob","moob",0.90082,0.59264,1.36925,"0.30",0.58172
"169","rr","heduc1","socio","mob","nomoob",1.51731,1.22956,1.87241,"5.31",0.02111
"170","rr","heduc2","socio","mob","nomoob",1.1744,1.00744,1.36903,"1.35",0.24476
"171","rr","fincome1","socio","mob","nomoob",1.21958,0.94644,1.57155,"0.08",0.7767
"172","rr","fincome2","socio","mob","nomoob",1.17901,0.8898,1.56223,"0.73",0.39271
"173","rr","fincome3","socio","mob","nomoob",1.03479,0.7863,1.3618,"0.30",0.58172
"174","rr","heduc1","socio","age","teen",1.39782,1.16156,1.68213,"1.29",0.25601
"175","rr","heduc2","socio","age","teen",1.15326,0.99661,1.33453,"0.93",0.33415
"176","rr","fincome1","socio","age","teen",1.31778,1.04507,1.66164,"0.00",0.99688
"177","rr","fincome2","socio","age","teen",1.21488,0.93698,1.5752,"0.03",0.84612
"178","rr","fincome3","socio","age","teen",1.06621,0.83512,1.36124,"0.03",0.85055
"179","rr","abwt1","uter","age","child",0.91797,0.40385,2.0866,"0.21",0.64493
"180","rr","abwt3","uter","age","child",2.20751,1.21685,4.00468,"2.04",0.15287
"181","rr","gweek1","uter","age","child",1.15839,0.59072,2.27159,"0.60",0.43842
"182","rr","gweek3","uter","age","child",1.41192,0.84116,2.36995,"0.08",0.77633
"183","rr","Delivery","uter","age","child",1.37442,1.00584,1.87807,"0.62",0.42896
"184","rr","pregcomp2","uter","age","child",1.53141,1.01898,2.30153,"0.60",0.4363
"185","rr","abwt1","uter","sex","female",1.12402,0.66188,1.90883,"0.04",0.82576
"186","rr","abwt3","uter","sex","female",1.14325,0.58865,2.22034,"0.95",0.32772
"187","rr","gweek1","uter","sex","female",0.98932,0.59907,1.6338,"0.16",0.68135
"188","rr","gweek3","uter","sex","female",1.33168,0.96837,1.8313,"0.01",0.91269
"189","rr","Delivery","uter","sex","female",1.14406,0.92218,1.41934,"0.77",0.37939
"190","rr","pregcomp2","uter","sex","female",1.26661,0.94928,1.69003,"0.16",0.6882
"191","rr","abwt1","uter","sex","male",1.03744,0.63123,1.70504,"0.04",0.82576
"192","rr","abwt3","uter","sex","male",1.64241,1.15957,2.32632,"0.95",0.32772
"193","rr","gweek1","uter","sex","male",0.85706,0.5036,1.45861,"0.16",0.68135
"194","rr","gweek3","uter","sex","male",1.30042,0.97761,1.72981,"0.01",0.91269
"195","rr","Delivery","uter","sex","male",1.29766,1.07823,1.56174,"0.77",0.37939
"196","rr","pregcomp2","uter","sex","male",1.36614,1.07443,1.73704,"0.16",0.6882
"197","rr","abwt1","uter","mob","moob",1.10038,0.65031,1.86195,"0.00",0.98751
"198","rr","abwt3","uter","mob","moob",1.09074,0.67073,1.77378,"1.64",0.19972
"199","rr","gweek1","uter","mob","moob",1.10449,0.66288,1.8403,"0.69",0.40308
"200","rr","gweek3","uter","mob","moob",1.28569,0.78872,2.0958,"0.00",0.96978
"201","rr","Delivery","uter","mob","moob",1.2648,0.992,1.61261,"0.54",0.45864
"202","rr","pregcomp2","uter","mob","moob",0.99008,0.74485,1.31606,"3.26",0.07084
"203","rr","abwt1","uter","mob","nomoob",1.1064,0.71175,1.71988,"0.00",0.98751
"204","rr","abwt3","uter","mob","nomoob",1.60537,1.1277,2.28536,"1.64",0.19972
"205","rr","gweek1","uter","mob","nomoob",0.8407,0.5508,1.28317,"0.69",0.40308
"206","rr","gweek3","uter","mob","nomoob",1.27278,0.98782,1.63996,"0.00",0.96978
"207","rr","Delivery","uter","mob","nomoob",1.13104,0.94889,1.34816,"0.54",0.45864
"208","rr","pregcomp2","uter","mob","nomoob",1.37757,1.10329,1.72004,"3.26",0.07084
"209","rr","abwt1","uter","age","teen",1.13306,0.79057,1.62391,"0.21",0.64493
"210","rr","abwt3","uter","age","teen",1.36521,1.01563,1.83512,"2.04",0.15287
"211","rr","gweek1","uter","age","teen",0.86749,0.63614,1.18297,"0.60",0.43842
"212","rr","gweek3","uter","age","teen",1.29896,0.99824,1.69027,"0.08",0.77633
"213","rr","Delivery","uter","age","teen",1.19008,0.99259,1.42686,"0.62",0.42896
"214","rr","pregcomp2","uter","age","teen",1.27717,1.02698,1.58831,"0.60",0.4363
"215","rr","bpregob","uter","age","child",3.16213,1.78582,5.59916,"0.13",0.71507
"216","rr","bpregob","uter","sex","female",4.27031,3.33763,5.46363,"4.67",0.03052
"217","rr","bpregob","uter","sex","male",2.86486,2.19372,3.74134,"4.67",0.03052
"218","rr","bpregob","uter","mob","moob",1.34738,1.03225,1.7587,"3.00",0.08292
"219","rr","bpregob","uter","mob","nomoob",2.85329,1.27144,6.4032,"3.00",0.08292
"220","rr","bpregob","uter","age","teen",3.53129,2.8041,4.44707,"0.13",0.71507
